ESTACION,AÑO,MES,CANTIDAD (mm),CODIGO PRECIP
10001,2018,1,129.4,
10001,2018,2,92.6,
10001,2018,3,73.9,
10001,2018,4,1.7,
10001,2018,5,0.0,
10001,2018,6,0.0,
10001,2018,7,0.0,
10001,2018,8,0.0,
10001,2018,9,0.1,
10001,2018,10,44.8,
10001,2018,11,27.5,
10001,2018,12,130.8,
10001,2019,1,50.1,
10001,2019,2,42.6,
10001,2019,3,47.0,
10001,2019,4,0.6,
10001,2019,5,0.0,
10001,2019,6,0.0,
10001,2019,7,0.2,
10001,2019,8,0.0,
10001,2019,9,0.0,
10001,2019,10,0.6,
10001,2019,11,30.4,
10001,2019,12,16.3,
10001,2020,1,89.2,
10001,2020,2,72.0,
10001,2020,3,30.5,
10001,2020,4,5.5,
10001,2020,5,0.0,
10001,2020,6,0.0,
10011,2018,1,168.0,
10011,2018,2,34.0,
10011,2018,3,129.0,
10011,2018,4,0.0,
10011,2018,5,75.0,
10011,2018,6,0.0,
10011,2018,7,1.0,
10011,2018,8,23.0,
10011,2018,9,20.0,
10011,2018,10,125.0,
10011,2018,11,179.0,
10011,2018,12,86.0,
10011,2019,1,197.0,
10011,2019,2,124.0,
10011,2019,3,81.5,
10011,2019,4,283.5,
10011,2019,5,136.0,
10011,2019,6,1.5,
10011,2019,7,84.0,
10011,2019,8,0.0,
10011,2019,9,0.0,
10011,2019,10,34.5,
10011,2019,11,246.0,
10011,2019,12,85.0,
10011,2020,1,68.0,
10011,2020,2,16.0,
10011,2020,3,158.0,
10011,2020,4,4.0,
10011,2020,5,0.0,
10011,2020,6,3.0,
10012,2018,1,254.4,
10012,2018,2,113.1,
10012,2018,3,56.2,
10012,2018,4,184.5,
10012,2018,5,53.3,
10012,2018,6,1.0,
10012,2018,7,3.3,
10012,2018,8,0.0,
10012,2018,9,2.3,
10012,2018,10,75.1,
10012,2018,11,62.2,
10012,2018,12,156.8,
10012,2019,1,155.2,
10012,2019,2,138.0,
10012,2019,3,79.4,
10012,2019,4,89.5,
10012,2019,5,5.2,
10012,2019,6,0.3,
10012,2019,7,1.0,
10012,2019,8,0.0,
10012,2019,9,1.1,
10012,2019,10,10.6,
10012,2019,11,156.4,
10012,2019,12,61.4,
10012,2020,1,200.6,
10012,2020,2,202.6,
10012,2020,3,35.3,
10012,2020,4,104.2,
10012,2020,5,4.0,
10012,2020,6,5.0,
10017,2018,1,419.0,
10017,2018,2,134.5,
10017,2018,3,38.0,
10017,2018,4,27.7,
10017,2018,5,30.6,
10017,2018,6,4.0,
10017,2018,7,10.9,
10017,2018,8,1.0,
10017,2018,9,12.3,
10017,2018,10,67.5,
10017,2018,11,86.8,
10017,2018,12,214.4,
10017,2019,1,172.6,
10017,2019,2,91.1,
10017,2019,3,201.1,
10017,2019,4,137.5,
10017,2019,5,33.0,
10017,2019,6,14.0,
10017,2019,7,0.2,
10017,2019,8,0.0,
10017,2019,9,4.0,
10017,2019,10,16.0,
10017,2019,11,152.9,
10017,2019,12,52.0,
10017,2020,1,294.0,
10017,2020,2,209.3,
10017,2020,3,79.5,
10017,2020,4,34.5,
10017,2020,5,0.0,
10017,2020,6,3.8,
10044,2018,1,103.0,
10044,2018,2,57.9,
10044,2018,3,5.8,
10044,2018,4,3.5,
10044,2018,5,29.6,
10044,2018,6,0.0,
10044,2018,7,5.9,
10044,2018,8,0.0,
10044,2018,9,8.0,
10044,2018,10,35.0,
10044,2018,11,72.5,
10044,2018,12,120.0,
10044,2019,1,164.7,
10044,2019,2,101.1,
10044,2019,3,112.8,
10044,2019,4,51.0,
10044,2019,5,7.7,
10044,2019,6,0.9,
10044,2019,7,2.3,
10044,2019,8,0.0,
10044,2019,9,13.0,
10044,2019,10,12.0,
10044,2019,11,29.0,
10044,2019,12,66.7,
10044,2020,1,103.1,
10044,2020,2,40.0,
10044,2020,3,69.2,
10044,2020,4,21.9,
10044,2020,5,1.0,
10044,2020,6,2.2,
10062,2018,1,97.1,
10062,2018,2,39.0,
10062,2018,3,12.0,
10062,2018,4,61.5,
10062,2018,5,13.5,
10062,2018,6,0.0,
10062,2018,7,6.2,
10062,2018,8,2.0,
10062,2018,9,13.1,
10062,2018,10,214.0,
10062,2018,11,117.0,
10062,2018,12,68.0,
10062,2019,1,391.2,
10062,2019,2,13.2,
10062,2019,3,77.8,
10062,2019,4,83.4,
10062,2019,5,9.0,
10062,2019,6,3.1,
10062,2019,7,1.1,
10062,2019,8,0.0,
10062,2019,9,0.0,
10062,2019,10,17.0,
10062,2019,11,90.7,
10062,2019,12,57.6,
10062,2020,1,94.0,
10062,2020,2,151.2,
10062,2020,3,89.7,
10062,2020,4,28.5,
10062,2020,5,8.0,
10062,2020,6,1.6,
10065,2018,1,105.0,
10065,2018,2,36.0,
10065,2018,3,7.5,
10065,2018,4,0.6,
10065,2018,5,1.0,
10065,2018,6,1.5,
10065,2018,7,0.6,
10065,2018,8,0.0,
10065,2018,9,0.0,
10065,2018,10,0.0,
10065,2018,11,46.0,
10065,2018,12,7.6,
10065,2019,1,73.5,
10065,2019,2,23.0,
10065,2019,3,12.0,
10065,2019,4,101.0,
10065,2019,5,0.4,
10065,2019,6,0.2,
10065,2019,7,0.0,
10065,2019,8,0.0,
10065,2019,9,0.0,
10065,2019,10,11.5,
10065,2019,11,0.1,
10065,2019,12,20.5,
10065,2020,1,69.0,
10065,2020,2,24.0,Mes incompleto
10065,2020,3,25.0,
10065,2020,4,0.0,Mes incompleto
10065,2020,5,0.0,
10065,2020,6,0.2,
10077,2018,1,125.6,
10077,2018,2,45.2,
10077,2018,3,41.0,
10077,2018,4,19.0,
10077,2018,5,6.6,
10077,2018,6,0.0,
10077,2018,7,16.6,
10077,2018,8,0.5,
10077,2018,9,9.6,
10077,2018,10,31.7,
10077,2018,11,20.0,
10077,2018,12,74.1,
10077,2019,1,137.6,
10077,2019,2,17.0,
10077,2019,3,118.8,
10077,2019,4,70.9,
10077,2019,5,6.0,
10077,2019,6,0.0,
10077,2019,7,2.0,
10077,2019,8,0.0,
10077,2019,9,13.0,
10077,2019,10,66.0,
10077,2019,11,51.7,
10077,2019,12,39.0,
10077,2020,1,74.3,
10077,2020,2,89.0,
10077,2020,3,33.0,
10077,2020,4,3.2,
10077,2020,5,2.0,
10077,2020,6,0.5,
10081,2018,1,26.0,
10081,2018,2,8.1,
10081,2018,3,6.3,
10081,2018,4,114.0,
10081,2018,5,112.0,
10081,2018,6,6.0,
10081,2018,7,7.8,
10081,2018,8,19.0,
10081,2018,9,45.2,
10081,2018,10,111.0,
10081,2018,11,164.0,
10081,2018,12,108.0,
10081,2019,1,275.0,
10081,2019,2,43.0,
10081,2019,3,173.1,
10081,2019,4,154.3,
10081,2019,5,66.7,
10081,2019,6,11.5,
10081,2019,7,25.8,
10081,2019,8,7.0,
10081,2019,9,39.0,
10081,2019,10,34.0,
10081,2019,11,85.2,
10081,2019,12,124.7,
10081,2020,1,98.0,
10081,2020,2,128.7,
10081,2020,3,76.5,
10081,2020,4,55.1,
10081,2020,5,9.0,
10081,2020,6,43.0,
10086,2018,1,30.0,
10086,2018,2,19.5,
10086,2018,3,0.0,
10086,2018,4,0.0,
10086,2018,5,0.7,
10086,2018,6,0.1,
10086,2018,7,9.0,
10086,2018,8,0.0,Mes incompleto
10086,2018,9,3.0,
10086,2018,10,0.0,Mes incompleto
10086,2018,11,,Mes faltante
10086,2018,12,,Mes faltante
10086,2019,1,11.5,Mes incompleto
10086,2019,2,18.5,
10086,2019,3,5.5,Mes incompleto
10086,2019,4,2.0,
10086,2019,5,1.5,
10086,2019,6,0.0,
10086,2019,7,0.0,
10086,2019,8,0.0,
10086,2019,9,0.3,
10086,2019,10,0.0,Mes incompleto
10086,2019,11,0.0,
10086,2019,12,11.0,Mes incompleto
10086,2020,1,58.5,
10086,2020,2,17.5,
10086,2020,3,26.6,
10086,2020,4,3.0,
10086,2020,5,5.9,
10086,2020,6,8.0,
10087,2018,1,26.5,
10087,2018,2,15.9,
10087,2018,3,223.8,
10087,2018,4,198.4,
10087,2018,5,230.2,
10087,2018,6,30.8,
10087,2018,7,122.8,
10087,2018,8,58.8,
10087,2018,9,129.3,
10087,2018,10,37.7,
10087,2018,11,136.9,
10087,2018,12,221.3,
10087,2019,1,644.0,
10087,2019,2,139.0,
10087,2019,3,120.3,
10087,2019,4,202.0,
10087,2019,5,179.7,
10087,2019,6,39.2,
10087,2019,7,77.2,
10087,2019,8,58.1,
10087,2019,9,40.9,
10087,2019,10,156.7,
10087,2019,11,212.1,
10087,2019,12,181.3,
10087,2020,1,96.3,
10087,2020,2,171.0,
10087,2020,3,89.2,
10087,2020,4,70.0,
10087,2020,5,151.0,
10087,2020,6,54.4,
10100,2018,1,56.3,
10100,2018,2,70.8,
10100,2018,3,3.0,
10100,2018,4,20.9,
10100,2018,5,127.6,
10100,2018,6,0.0,
10100,2018,7,0.2,
10100,2018,8,2.8,
10100,2018,9,18.4,
10100,2018,10,52.3,
10100,2018,11,131.0,
10100,2018,12,122.2,
10100,2019,1,242.3,
10100,2019,2,40.4,
10100,2019,3,136.1,
10100,2019,4,56.7,
10100,2019,5,26.8,
10100,2019,6,8.0,
10100,2019,7,1.1,
10100,2019,8,0.0,
10100,2019,9,7.0,
10100,2019,10,54.2,
10100,2019,11,113.1,
10100,2019,12,235.0,
10100,2020,1,60.0,
10100,2020,2,246.8,
10100,2020,3,100.0,
10100,2020,4,29.5,
10100,2020,5,0.0,
10100,2020,6,0.0,
10105,2018,1,79.6,
10105,2018,2,114.5,
10105,2018,3,3.2,
10105,2018,4,22.7,
10105,2018,5,120.0,
10105,2018,6,0.0,
10105,2018,7,0.0,
10105,2018,8,3.0,
10105,2018,9,37.8,
10105,2018,10,82.3,
10105,2018,11,142.0,
10105,2018,12,119.6,
10105,2019,1,235.2,
10105,2019,2,28.1,
10105,2019,3,163.5,
10105,2019,4,86.5,
10105,2019,5,28.2,
10105,2019,6,8.2,
10105,2019,7,2.4,
10105,2019,8,0.0,
10105,2019,9,6.0,
10105,2019,10,53.7,
10105,2019,11,86.0,
10105,2019,12,192.0,
10105,2020,1,48.5,
10105,2020,2,134.0,
10105,2020,3,68.2,
10105,2020,4,35.5,
10105,2020,5,0.0,
10105,2020,6,0.0,
10111,2018,1,134.0,
10111,2018,2,52.0,
10111,2018,3,10.9,
10111,2018,4,16.4,
10111,2018,5,92.1,
10111,2018,6,0.0,
10111,2018,7,0.0,
10111,2018,8,0.4,
10111,2018,9,33.0,
10111,2018,10,52.4,
10111,2018,11,93.5,
10111,2018,12,45.1,
10111,2019,1,185.0,
10111,2019,2,93.9,
10111,2019,3,147.5,
10111,2019,4,67.3,
10111,2019,5,15.5,
10111,2019,6,4.8,
10111,2019,7,0.8,
10111,2019,8,0.0,
10111,2019,9,4.3,
10111,2019,10,37.8,
10111,2019,11,107.7,
10111,2019,12,126.4,
10111,2020,1,15.9,
10111,2020,2,152.1,
10111,2020,3,65.1,
10111,2020,4,21.6,
10111,2020,5,0.0,
10111,2020,6,0.0,
10113,2018,1,37.0,
10113,2018,2,10.8,
10113,2018,3,23.6,
10113,2018,4,189.1,
10113,2018,5,189.9,
10113,2018,6,7.0,
10113,2018,7,38.8,
10113,2018,8,46.8,
10113,2018,9,28.0,
10113,2018,10,83.2,
10113,2018,11,306.5,
10113,2018,12,99.7,
10113,2019,1,296.0,
10113,2019,2,146.8,
10113,2019,3,149.2,
10113,2019,4,79.8,
10113,2019,5,72.9,
10113,2019,6,52.0,
10113,2019,7,44.6,
10113,2019,8,23.0,
10113,2019,9,56.2,
10113,2019,10,86.7,
10113,2019,11,63.5,
10113,2019,12,208.0,
10113,2020,1,153.5,
10113,2020,2,33.0,
10113,2020,3,94.0,
10113,2020,4,79.0,
10113,2020,5,46.5,
10113,2020,6,33.3,
10117,2018,1,117.3,
10117,2018,2,91.6,
10117,2018,3,48.3,
10117,2018,4,31.5,
10117,2018,5,70.3,
10117,2018,6,4.0,
10117,2018,7,0.7,
10117,2018,8,4.4,
10117,2018,9,23.0,
10117,2018,10,62.1,
10117,2018,11,126.2,
10117,2018,12,47.7,
10117,2019,1,157.4,
10117,2019,2,56.2,
10117,2019,3,126.4,
10117,2019,4,103.0,
10117,2019,5,11.7,
10117,2019,6,2.8,
10117,2019,7,0.0,
10117,2019,8,0.0,
10117,2019,9,6.1,
10117,2019,10,13.3,
10117,2019,11,96.6,
10117,2019,12,69.4,
10117,2020,1,46.3,
10117,2020,2,207.2,
10117,2020,3,83.9,
10117,2020,4,16.9,
10117,2020,5,0.0,
10117,2020,6,0.0,
10131,2018,1,47.4,
10131,2018,2,50.8,
10131,2018,3,0.6,
10131,2018,4,18.0,
10131,2018,5,6.1,
10131,2018,6,0.0,
10131,2018,7,4.7,
10131,2018,8,0.2,
10131,2018,9,3.0,
10131,2018,10,6.4,
10131,2018,11,13.9,
10131,2018,12,23.1,
10131,2019,1,64.6,
10131,2019,2,17.5,
10131,2019,3,21.5,
10131,2019,4,11.9,
10131,2019,5,15.8,
10131,2019,6,0.0,
10131,2019,7,0.0,
10131,2019,8,0.0,
10131,2019,9,6.0,
10131,2019,10,0.0,
10131,2019,11,20.4,
10131,2019,12,2.0,
10131,2020,1,27.0,
10131,2020,2,67.7,
10131,2020,3,13.5,
10131,2020,4,10.0,
10131,2020,5,0.9,
10131,2020,6,4.0,
10132,2018,1,32.5,
10132,2018,2,19.0,
10132,2018,3,3.6,
10132,2018,4,23.0,
10132,2018,5,9.4,
10132,2018,6,2.2,
10132,2018,7,15.3,
10132,2018,8,1.9,
10132,2018,9,3.0,
10132,2018,10,30.8,
10132,2018,11,30.0,
10132,2018,12,42.5,
10132,2019,1,64.9,
10132,2019,2,13.0,
10132,2019,3,42.0,
10132,2019,4,39.3,
10132,2019,5,11.9,
10132,2019,6,5.3,
10132,2019,7,0.0,
10132,2019,8,0.3,
10132,2019,9,10.0,
10132,2019,10,1.6,
10132,2019,11,34.0,
10132,2019,12,4.9,
10132,2020,1,37.3,
10132,2020,2,78.0,
10132,2020,3,18.0,
10132,2020,4,24.4,
10132,2020,5,5.9,
10132,2020,6,10.0,
10133,2018,1,20.9,
10133,2018,2,4.7,
10133,2018,3,28.8,
10133,2018,4,190.8,
10133,2018,5,155.7,
10133,2018,6,4.3,
10133,2018,7,14.6,
10133,2018,8,22.6,
10133,2018,9,21.5,
10133,2018,10,131.8,
10133,2018,11,233.8,
10133,2018,12,168.8,
10133,2019,1,240.2,
10133,2019,2,107.0,
10133,2019,3,101.0,
10133,2019,4,83.3,
10133,2019,5,46.8,
10133,2019,6,39.0,
10133,2019,7,33.0,
10133,2019,8,3.0,
10133,2019,9,40.0,
10133,2019,10,61.0,
10133,2019,11,88.5,
10133,2019,12,134.1,
10133,2020,1,76.4,
10133,2020,2,68.3,
10133,2020,3,85.8,
10133,2020,4,128.0,
10133,2020,5,0.0,
10133,2020,6,13.4,
10134,2018,1,113.0,
10134,2018,2,37.3,
10134,2018,3,36.0,
10134,2018,4,227.0,
10134,2018,5,141.0,
10134,2018,6,6.6,
10134,2018,7,82.2,
10134,2018,8,93.3,
10134,2018,9,119.2,
10134,2018,10,80.4,
10134,2018,11,132.5,
10134,2018,12,369.3,
10134,2019,1,344.8,
10134,2019,2,88.2,
10134,2019,3,115.7,
10134,2019,4,41.0,
10134,2019,5,79.8,
10134,2019,6,159.3,
10134,2019,7,43.3,
10134,2019,8,28.0,
10134,2019,9,77.0,
10134,2019,10,113.9,
10134,2019,11,127.2,
10134,2019,12,166.1,
10134,2020,1,92.2,
10134,2020,2,45.0,
10134,2020,3,78.0,
10134,2020,4,129.0,
10134,2020,5,9.0,
10134,2020,6,52.5,
10138,2018,1,54.3,
10138,2018,2,29.4,
10138,2018,3,11.0,
10138,2018,4,64.8,
10138,2018,5,66.9,
10138,2018,6,4.0,
10138,2018,7,2.0,
10138,2018,8,0.0,
10138,2018,9,66.8,
10138,2018,10,80.4,
10138,2018,11,193.0,
10138,2018,12,79.1,
10138,2019,1,186.1,
10138,2019,2,21.2,
10138,2019,3,331.7,
10138,2019,4,62.5,
10138,2019,5,41.6,
10138,2019,6,7.2,
10138,2019,7,0.0,
10138,2019,8,0.0,
10138,2019,9,15.3,
10138,2019,10,39.0,
10138,2019,11,209.6,
10138,2019,12,144.1,
10138,2020,1,90.1,
10138,2020,2,99.0,
10138,2020,3,93.9,
10138,2020,4,13.0,
10138,2020,5,0.0,
10138,2020,6,0.7,
10139,2018,1,78.3,
10139,2018,2,80.3,
10139,2018,3,82.0,
10139,2018,4,44.5,
10139,2018,5,44.0,
10139,2018,6,4.4,
10139,2018,7,4.0,
10139,2018,8,2.4,
10139,2018,9,11.2,
10139,2018,10,47.0,
10139,2018,11,133.0,
10139,2018,12,42.2,
10139,2019,1,64.0,
10139,2019,2,35.6,
10139,2019,3,61.4,
10139,2019,4,44.0,
10139,2019,5,19.7,
10139,2019,6,9.0,
10139,2019,7,0.0,
10139,2019,8,0.0,
10139,2019,9,10.0,
10139,2019,10,17.9,
10139,2019,11,91.4,
10139,2019,12,70.0,
10139,2020,1,84.0,
10139,2020,2,83.2,
10139,2020,3,23.3,
10139,2020,4,23.2,
10139,2020,5,0.0,
10139,2020,6,0.9,
10148,2018,1,143.4,
10148,2018,2,16.7,
10148,2018,3,78.0,
10148,2018,4,94.3,
10148,2018,5,63.2,
10148,2018,6,20.1,
10148,2018,7,28.0,
10148,2018,8,5.0,
10148,2018,9,46.3,
10148,2018,10,69.3,
10148,2018,11,78.2,
10148,2018,12,118.0,
10148,2019,1,173.2,
10148,2019,2,4.0,
10148,2019,3,80.3,
10148,2019,4,56.0,
10148,2019,5,30.5,
10148,2019,6,23.9,
10148,2019,7,0.3,
10148,2019,8,0.1,
10148,2019,9,10.2,
10148,2019,10,88.2,
10148,2019,11,48.5,
10148,2019,12,154.8,
10148,2020,1,209.1,
10148,2020,2,207.0,
10148,2020,3,217.1,
10148,2020,4,53.3,
10148,2020,5,0.0,
10148,2020,6,0.1,
10156,2018,1,39.8,
10156,2018,2,49.3,
10156,2018,3,70.1,
10156,2018,4,262.5,
10156,2018,5,217.6,
10156,2018,6,6.6,
10156,2018,7,125.3,
10156,2018,8,54.3,
